model,fold,accuracy,f1_macro,auroc_macro,train_time_sec
LightXrayNet,1,0.9851851851851852,0.9850830346092508,0.9990466392318242,147.68702936172485
ResNet50V2,1,0.5882716049382716,0.583112022218523,0.89144933127572,369.76453375816345
InceptionV3,1,0.6993827160493827,0.696897879480081,0.9327237654320988,366.39067006111145
DenseNet201,1,0.5098765432098765,0.5033699757450977,0.8575874485596707,711.18274974823
LightXrayNet,2,0.9623456790123457,0.9621064428836237,0.9979162379972565,92.46739363670349
ResNet50V2,2,0.6049382716049383,0.6049209397744914,0.9047346536351165,365.5960922241211
InceptionV3,2,0.7203703703703703,0.7177768802827296,0.9452404835390946,365.023556470871
DenseNet201,2,0.5296296296296297,0.521824120796676,0.8679140946502057,692.2424278259277
LightXrayNet,3,0.9820987654320987,0.9819305683272174,0.9993557098765433,144.47907996177673
ResNet50V2,3,0.5808641975308642,0.5757635128543375,0.8988781721536352,366.8320167064667
InceptionV3,3,0.6944444444444444,0.6893144728880158,0.9367125342935528,362.5648729801178
DenseNet201,3,0.5006172839506173,0.4845963918782609,0.864852109053498,695.0574162006378
LightXrayNet,4,0.9864197530864197,0.9863405134709444,0.9993325617283951,145.16188263893127
ResNet50V2,4,0.6123456790123457,0.6093691211005293,0.8991430898491084,362.6814498901367
InceptionV3,4,0.7074074074074074,0.7027572450309041,0.9368076989026063,359.6982910633087
DenseNet201,4,0.5308641975308642,0.524942054507062,0.8628759430727023,687.9198663234711
LightXrayNet,5,0.9814814814814815,0.9813834410868504,0.9993797153635116,143.492915391922
ResNet50V2,5,0.5975308641975309,0.5892354131957211,0.8914819101508916,367.86034989356995
InceptionV3,5,0.7067901234567902,0.7002867142050506,0.9357501714677642,367.50763297080994
DenseNet201,5,0.5061728395061729,0.4926593047212052,0.8545889060356653,705.9236922264099
